SpillNumber,ProgramFacilityName,Street1,Street2,Locality,County,ZIPCode,SWISCode,DECRegion,SpillDate,SpillYear,ReceivedDate,ContributingFactor,Waterbody,Source,CloseDate,MaterialName,MaterialFamily,Quantity,Units,Recovered
8499940,10 FILKENS RD,"10 FILKENS RD, NEAR RT 31",,FAIRPORT V,Monroe,,2800,8,,1900,3/14/84,Unknown,SEWERS,Unknown,6/1/86,kerosene,Petroleum,100,Gallons,0
8101869,100 HAVEN AVE,100 HAVEN AVENUE,,MANHATTAN,New York,,3101,2,,1900,4/1/81,Unknown,,Unknown,7/31/85,unknown material,Other,0,,0
8579987,140 SO. MAIN ST,"146 S MAIN ST ,ACROSS FRO",,ALBION,Orleans,,3720,8,,1900,9/22/85,Unknown,GROUND,Unknown,6/1/86,paint thinners,Other,0,,0
8502923,15 GLENDOWER CIRCLE MVA,15 GLENDOWER CIRCLE,,PITTSFORD,Monroe,,2846,8,,1900,11/15/85,Unknown,,Unknown,6/1/86,gasoline,Petroleum,2,Gallons,0
8504071,33RD & 34TH ST MANHATTAN,33RD ST / 34TH ST,,NEW YORK,New York,,3101,2,,1900,3/21/86,Unknown,,Unknown,3/21/86,unknown material,Other,0,,0
7900952,34TH ST & NORTHERN BLVD,34TH ST & NORTHERN BLVD,,QUEENS,Queens,,4101,2,,1900,4/1/79,Unknown,,Unknown,7/31/85,unknown material,Other,0,,0
8523218,3674 MONROE AVE,ACROSS FROM 3647 MONROE A,,PITTSFORD,Monroe,,2846,8,,1900,12/10/85,Unknown,,Unknown,6/1/86,unknown hazardous material,Hazardous Material,0,,0
9402762,480 KNICKERBOCKER AVE,480 KNICKERBOCKER AVENUE,,BROOKLYN,Kings,,2401,2,,1900,5/26/94,Unknown,,Unknown,1/14/97,unknown petroleum,Petroleum,0,Gallons,0
9010299,695 9TH AVE/MANH,695 9TH AVENUE,,MANHATTAN,New York,,3101,2,12/29/00,1900,12/22/90,Tank Overfill,,Commercial/Industrial,11/16/94,#2 fuel oil,Petroleum,2,Gallons,0
8520959,7101 BUFFALO ROAD,7101 BUFFALO ROAD,,CHURCHVILLE,Monroe,,2800,8,,1900,6/15/85,Unknown,STORM SEWER,Unknown,6/1/86,gasoline,Petroleum,25,Gallons,0
8602754,74 ST & GRAND AVE,74 ST & GRAND AVE,,MASPETH,Queens,,4101,2,,1900,7/28/86,Tank Overfill,NONE,Gasoline Station or other PBS Facility,7/28/86,waste oil/used oil,Petroleum,0,Gallons,0
8602754,74 ST & GRAND AVE,74 ST & GRAND AVE,,MASPETH,Queens,,4101,2,,1900,7/28/86,Tank Overfill,NONE,Gasoline Station or other PBS Facility,7/28/86,nonene,Other,0,,0
7901572,A & P BROADWAY,A & P BROADWAY,,ELMHURST,Queens,,4101,2,,1900,4/1/79,Unknown,,Unknown,7/31/88,unknown material,Other,0,,0
7980330,A AND P BROCKPORT,STATE STREET,,BROCKPORT,Monroe,,2800,8,,1900,3/29/79,Other,BARGE CANAL,Unknown,3/29/79,#2 fuel oil,Petroleum,0,Gallons,0
8400124,AGWAY,"AGWAY PLANT,",,INTERLAKEN,Seneca,,5000,8,,1900,4/11/84,Unknown,AIR,Unknown,6/1/86,"propane, 1,2-dibromo-3-chloro-",Hazardous Material,0,,0
8802875,AMERICHEM,1300 BROAD ST,,UTICA,Oneida,,3300,6,,1900,6/30/88,Housekeeping,,Commercial/Industrial,6/30/88,unknown petroleum,Petroleum,3,Gallons,0
8803050,ANNSVILLE TOWN BARN,COAL HILL RD TABERG,,ANNSVILLE (T),Oneida,,3300,6,,1900,7/7/88,Unknown,,"Institutional, Educational, Gov., Other",11/19/90,diesel,Petroleum,0,,0
8523157,ARCO - DENISON PKWY,ARCO - DENISON PKWY,,CORNING,Steuben,,5138,8,,1900,12/5/85,Unknown,,Unknown,6/1/86,gasoline,Petroleum,0,,0
8401595,ARCO GAS STATION,"ARCO GAS STATION, INT OF",,ELMIRA (C),Chemung,,800,8,,1900,9/5/84,Unknown,GROUNDWATER,Unknown,6/1/86,gasoline,Petroleum,0,,0
7980729,BEAVER VALLEY,POST CREEK,,BEAVER VALLEY,Chemung,,800,8,,1900,7/27/79,Unknown,POST CREEK,Unknown,8/1/79,PCB oil,Petroleum,0,Gallons,0
8709832,BORELLO'S TRUCKING,1109 WATER STREET,,WATERTOWN,Jefferson,,2358,6,,1900,2/19/88,Tank Overfill,NONE,Commercial Vehicle,2/24/88,diesel,Petroleum,5,Gallons,2
8503956,"BOXWOOD (#22) LANE, MVA",22 BOXWOOD LANE,,PERINTON,Monroe,,2844,8,,1900,2/10/86,Unknown,,Unknown,6/1/86,gasoline,Petroleum,15,Gallons,0
7901220,BRUCKNER BLVD.,BRUCKNER BLVD.,,BRONX,Bronx,,301,2,,1900,4/1/79,Unknown,,Unknown,7/31/85,unknown material,Other,0,,0
8403996,BUCK POND,CORNER OF LONGPOND ROAD A,,GREECE,Monroe,,2828,8,,1900,2/24/85,Unknown,,Unknown,6/1/86,unknown material,Other,0,,0
8579992,BUCK POND (FISHKILL),"1067 EDGEMERE, (ALONG NOR",,GREECE,Monroe,,2828,8,,1900,6/18/85,Unknown,BUCK POND,Unknown,6/1/86,unknown hazardous material,Hazardous Material,0,,0
8502652,CADBURY SCHWEPPES (DUFFY,CADBURY SCHWEPPES (FORMER,,WILLIAMSON,Wayne,,5946,8,,1900,10/24/85,Unknown,SALMON CREEK,Unknown,6/1/86,apple juice,Other,30000,Gallons,0
7781217,CANANDAIGUA CITY SEWER,CANANDAIGUA SEWER SYSTEM,,CANANDAIGUA,Ontario,,3524,8,,1900,12/19/77,Unknown,,Gasoline Station or other PBS Facility,12/19/77,gasoline,Petroleum,0,,0
8800322,CARY JUNKYARD,RATHBURN RD.OFF CO.RT 85,,HANNIBAL,Oswego,,3830,7,,1900,4/11/88,Housekeeping,,Passenger Vehicle,7/15/88,waste oil/used oil,Petroleum,0,,0
9507062,CHAMPION INTERNATIONAL,400 ANDERSON AVE,,Deferiet,Jefferson,,2300,6,,1900,9/10/95,Unknown,,Commercial/Industrial,2/1/96,unknown material,Other,0,Pounds,0
8524569,CHILI AVE. & OLD CHILI SC,CORNER OF CHILI AVE. AND,,CHILI,Monroe,,2822,8,,1900,3/17/86,Unknown,,Unknown,6/1/86,waste oil/used oil,Petroleum,0,,0
8603969,"COMMISSO, JIM",666 WEST LAKE ROAD,,PULTENEY,Steuben,,5100,8,,1900,9/18/86,Tank Failure,KEUKA LAKE,Commercial/Industrial,3/31/87,gasoline,Petroleum,0,,0
8499985,CONKING AND CALABRESE GAS,CONKING AND CALABRESE GAS,,FAIRPORT V,Monroe,,2800,8,,1900,2/10/84,Unknown,IRONDEQUOIT CR,Unknown,6/1/86,gasoline,Petroleum,5,Gallons,0
8503748,CORNING HILTON,ROUTE 17,,CAMPBELL,Steuben,,5130,8,,1900,1/17/86,Unknown,,Unknown,6/1/86,gasoline,Petroleum,0,Pounds,0
8500222,COUNTRY LIVING MOBILE HOM,"LOT 10, COUNTRY LIVING MO",,MACEDON,Wayne,,5930,8,,1900,4/19/85,Unknown,DRAINAGE DITCH,Unknown,6/1/86,#2 fuel oil,Petroleum,200,Gallons,0
8401726,COVERED WAGON TRUCK CORP,ROUTE 14A NORTH OF RT 245,,SENECA,Ontario,,3544,8,,1900,9/30/84,Unknown,DRAINAGE DITCH,Unknown,6/1/86,motor oil,Petroleum,3000,Gallons,3000
8403181,CROP DUSTER CRASH,SENECA FALLS AIRPORT,,SENECA FALLS,Seneca,,5032,8,,1900,5/10/84,Unknown,GROUND,Unknown,6/1/86,gasoline,Petroleum,5,Gallons,0
8524725,CROSSETT INC.,"BAY TRAIL SCHOOL, 1760 SC",,PENFIELD,Monroe,,2842,8,,1900,3/20/86,Unknown,,Unknown,6/1/86,#2 fuel oil,Petroleum,5,Gallons,0
8399970,DOT BRIDGE PAINTING,ROUTE 15 BRIDGE CROSSING,,WALLACE,Steuben,,5100,8,,1900,9/29/83,Unknown,COHOCTON RIVER,Unknown,6/1/86,paint,Other,0,,0
8422377,DOT RESIDENCY,"DOT RESIDENCY, RT 31",,NEWARK,Wayne,,5900,8,,1900,12/5/84,Unknown,GROUNDWATER,Unknown,6/1/86,gasoline,Petroleum,870,Gallons,0
8200885,EAGLE & WESTCHESTER AVES,EAGLE / WESTCHESTER AVE,,BRONX,Bronx,,301,2,,1900,4/1/82,Unknown,,Unknown,7/31/85,unknown material,Other,0,,0
8502535,EAGLE HARBOR-KNOWLESVILLE,EAGLE HARBOR - KNOWLESVIL,,ALBION,Orleans,,3720,8,,1900,10/17/85,Unknown,WATER,Unknown,6/1/86,unknown hazardous material,Hazardous Material,0,,0
8504359,EARL RESIDENCE,3886 EAGAM RD,,LAFAYETTE,Onondaga,,3434,7,,1900,3/7/86,Unknown,,Unknown,1/6/88,unknown petroleum,Petroleum,0,,0
8504121,EMMONS ST @ TRAILER PARK,EMMONS ST @ TRAILER PARK,,NEWARK,Wayne,,5900,8,,1900,2/21/86,Unknown,,Unknown,3/5/86,#2 fuel oil,Petroleum,0,,0
8100421,FLUSHING MEADOW PARK,LIE / GRAND CENTRAL PKWY,,FLUSHING MEADOWS PARK,Queens,,4101,2,,1900,4/1/81,Unknown,,Unknown,7/31/85,unknown material,Other,0,,0
8524838,GENEVA FORD AND VW,GENEVA FORD & VW DEALERSH,,GENEVA,Ontario,,3530,8,,1900,3/25/86,Unknown,,Unknown,6/1/86,unknown material,Other,0,,0
8524722,GENEVA FOUNDRY,"GENEVA FOUNDRY, EXCHANGE",,GENEVA,Ontario,,3530,8,,1900,3/21/86,Unknown,,Unknown,6/1/86,unknown material,Other,0,,0
8601824,GORHAM HIGHWAY DEPARTMENT,TOWN OF GORHAM HGWY DEPT.,,GORHAM,Ontario,,3532,8,,1900,6/16/86,Tank Failure,,"Institutional, Educational, Gov., Other",6/21/86,#2 fuel oil,Petroleum,0,,0
8080312,GOVERNOR CHEVROLET,ROUTE 104,,WOLCOTT,Wayne,,5900,8,,1900,3/10/80,Tank Failure,GROUND WATER,Commercial/Industrial,3/11/80,gasoline,Petroleum,0,Gallons,0
8403220,GREEN (TOBEHANNA LAKE) FI,GREEN LAKE (TOBEHANNA LAK,,TYRONE,Schuyler,,4934,8,,1900,8/20/84,Unknown,GREEN (TOBEHANNA) LA,Unknown,6/1/86,unknown material,Other,0,,0
8601825,GRIFFITH OIL,PEARL & BROOKLYN,,BATAVIA,Genesee,,1924,8,,1900,6/16/86,Tank Test Failure,,Gasoline Station or other PBS Facility,3/31/87,gasoline,Petroleum,0,,0
8403997,HARNETT L. T. HORNON,KEUKA OUTLET AT BIRKETT M,,PENN YAN,Yates,,6200,8,,1900,10/26/84,Unknown,,Unknown,6/1/86,unknown material,Other,0,,0
8503271,HARVEY (BRIAN) RESIDENCE,,,RIGA,Monroe,,2848,8,,1900,12/12/85,Unknown,,Unknown,8/1/88,unknown hazardous material,Hazardous Material,0,,0
8503271,HARVEY (BRIAN) RESIDENCE,,,RIGA,Monroe,,2848,8,,1900,12/12/85,Unknown,,Unknown,8/1/88,unknown petroleum,Petroleum,0,,0
8523815,HAXTON MEMORIAL LIBRARY,"HAXTON MEMORIAL LIBRARY,",,OAKFIELD,Genesee,,1938,8,,1900,1/28/86,Unknown,,Unknown,6/1/86,gasoline,Petroleum,0,,0
