"","SpillNumber","ProgramFacilityName","Street1","Street2","Locality","County","ZIPCode","SWISCode","DECRegion","SpillDate","SpillYear","ReceivedDate","ContributingFactor","Waterbody","Source","CloseDate","MaterialName","MaterialFamily","Quantity","Units","Recovered"
"157",8607901,"2","","","","Monroe","",2800,8,"11/11/11",1911,"11/11/11","Unknown","","Unknown","5/12/93","unknown material","Other",0,"",0
"158",8400582,"AGWAY","CONGER AVE.","","WATERVILLE V","Oneida","",3300,6,"11/11/11",1911,"5/31/84","Deliberate","NONE","Commercial Vehicle","6/1/84","pesticides","Other",5,"",0
"159",7901374,"BURGESS OIL CO","WURZ AVENUE","","UTICA","Oneida","",3300,6,"11/11/11",1911,"3/8/79","Unknown","MOHAWK RIVER","Unknown","3/20/79","#4 fuel oil","Petroleum",1e+05,"Gallons",0
"160",7900298,"CLIFFORD FUELS","128 FRANKLIN AVE","","KIRKLAND T","Oneida","",3300,6,"11/11/11",1911,"5/31/79","Equipment Failure","GROUNDWATER","Gasoline Station or other PBS Facility","1/12/81","gasoline","Petroleum",500,"",0
"161",7901415,"HOGEBOOM & CAMPFIELD","SENECA TURNPIKE","","NEW HARTFORD T","Oneida","",3300,6,"11/11/11",1911,"3/13/79","Unknown","MUD CREEK","Unknown","3/13/79","waste oil/used oil","Petroleum",0,"",0
"162",8201453,"LERMAN FURNITURE CO.","MARTIN ST","","ROME C","Oneida","",3300,6,"11/11/11",1911,"9/24/82","Unknown","NONE","Commercial/Industrial","9/24/82","#2 fuel oil","Petroleum",0,"",0
"163",7801149,"MATLACK","MT. MARKHAM SCHOOL","","WINFIELD","Herkimer","",2200,6,"11/11/11",1911,"1/23/79","Unknown","NONE","Tank Truck","1/23/79","#2 fuel oil","Petroleum",5,"",0
"164",7801230,"MATLACK","AGWAY BULK PLANT","","MARCY T","Oneida","",3300,6,"11/11/11",1911,"2/7/79","Equipment Failure","NONE","Commercial Vehicle","2/8/79","gasoline","Petroleum",33,"",0
"165",8401794,"MOHAWK LIMITED","SAUQUOIT CREEK","","NEW HARTFORD T","Oneida","",3300,6,"11/11/11",1911,"10/4/84","Deliberate","SAUQUOIT CREEK","Unknown","10/4/84","waste oil/used oil","Petroleum",1,"Pounds",0
"166",8601732,"Spill Number 8601732","","","","Monroe","",2800,8,"11/11/11",1911,"11/11/11","Unknown","","Unknown","5/12/93","unknown material","Other",0,"",0
"167",8602904,"Spill Number 8602904","","","","Monroe","",2800,8,"11/11/11",1911,"11/11/11","Unknown","","Unknown","5/12/93","unknown material","Other",0,"",0
"168",8603114,"Spill Number 8603114","","","","Monroe","",2800,8,"11/11/11",1911,"11/11/11","Unknown","","Unknown","5/12/93","unknown material","Other",0,"",0
"169",8604589,"Spill Number 8604589","","","","Monroe","",2800,8,"11/11/11",1911,"11/11/11","Unknown","","Unknown","5/12/93","unknown material","Other",0,"",0
"170",8607427,"Spill Number 8607427","","","","Monroe","",2800,8,"11/11/11",1911,"11/11/11","Unknown","","Unknown","5/12/93","unknown material","Other",0,"",0
"171",7901602,"UNKNOWN","TABERG RD - BLOOSVALE","","ANNSVILLE (T)","Oneida","",3300,6,"11/11/11",1911,"3/24/80","Unknown","GROUNDWATER","Unknown","5/15/80","unknown petroleum","Petroleum",0,"",0
